task,positional,seed,cohort,ood,digits,d_model,n_layers,steps,params,lr,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
addition,none,0,id_1d,False,1,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,none,0,id_2d,False,2,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.075,0.43692,0.013,0.3148,0.258|0.274|1.000,1.588
addition,none,0,id_3d,False,3,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.0165,0.35261,0.004,0.26297,0.210|0.229|0.222|1.000,2.379
addition,none,0,id_4d,False,4,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.0015,0.29074,0.0015,0.22979,0.189|0.183|0.176|0.187|1.000,3.269
addition,none,0,ood_5d,True,5,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.0,0.25824,0.001,0.20418,0.170|0.173|0.183|0.160|0.163|1.000,4.151
addition,none,0,ood_6d,True,6,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.0,0.22711,0.001,0.19165,0.159|0.148|0.146|0.137|0.164|0.147|1.000,5.099
addition,none,0,ood_7d,True,7,256,4,6000,3166221,0.0003,token,1.06507,False,False,cuda:0,2000,0.0,0.21599,0.001,0.18183,0.141|0.144|0.143|0.148|0.155|0.153|0.147|1.000,5.968
addition,learned,0,id_1d,False,1,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,learned,0,id_2d,False,2,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.013,0.3148,1.000|1.000|1.000,0.0
addition,learned,0,id_3d,False,3,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.004,0.26297,1.000|1.000|1.000|1.000,0.0
addition,learned,0,id_4d,False,4,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.0015,0.22979,1.000|1.000|1.000|1.000|1.000,0.0
addition,learned,0,ood_5d,True,5,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,0.0,0.21044,0.001,0.20418,0.121|0.154|0.100|0.100|0.106|1.000,4.418
addition,learned,0,ood_6d,True,6,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,0.0,0.20506,0.001,0.19165,0.121|0.126|0.129|0.170|0.103|0.107|1.000,5.245
addition,learned,0,ood_7d,True,7,256,4,6000,3170317,0.0003,token,1e-05,False,False,cuda:0,2000,0.0,0.20022,0.001,0.18183,0.107|0.116|0.117|0.123|0.144|0.206|0.100|1.000,6.088
addition,sinusoidal,0,id_1d,False,1,256,4,6000,3166221,0.0003,token,1e-05,False,False,cuda:0,41,1.0,1.0,0.121951,0.44615,1.000|1.000,0.0
addition,sinusoidal,0,id_2d,False,2,256,4,6000,3166221,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.013,0.3148,1.000|1.000|1.000,0.0
addition,sinusoidal,0,id_3d,False,3,256,4,6000,3166221,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.004,0.26297,1.000|1.000|1.000|1.000,0.0
addition,sinusoidal,0,id_4d,False,4,256,4,6000,3166221,0.0003,token,1e-05,False,False,cuda:0,2000,1.0,1.0,0.0015,0.22979,1.000|1.000|1.000|1.000|1.000,0.0
