task,positional,seed,train_digits,ood_digits,n_train,cohort,ood,digits,d_model,n_layers,steps,params,lr,abacus_max_k,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
square,learned,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,5,1.0,1.0,0.2,0.375,1.000|1.000,0.0
square,learned,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,45,0.33333,0.73099,0.022222,0.20468,0.844|0.400|0.756|0.972,1.533
square,learned,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,450,0.60444,0.91909,0.002222,0.17073,1.000|0.998|0.653|0.902|0.982|1.000,1.174
square,learned,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,2000,0.43,0.91133,0.0005,0.15461,1.000|1.000|1.000|0.863|0.504|0.951|0.995|0.999,1.208
square,learned,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,2000,0.047,0.78971,0.0005,0.14806,1.000|1.000|1.000|0.985|0.339|0.160|0.520|0.952|0.997|0.999,2.151
square,learned,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,2000,0.0005,0.3378,0.001,0.1402,0.177|0.116|0.107|0.108|0.116|0.105|0.109|0.096|0.379|0.919|0.989|0.997,7.785
square,learned,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3170317,0.0003,8,token,4e-05,False,False,cuda:0,2000,0.0,0.28741,0.0005,0.13493,0.101|0.094|0.114|0.097|0.093|0.107|0.102|0.091|0.098|0.099|0.344|0.878|0.981|0.995,9.805
square,rope,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,5,0.2,0.375,0.2,0.375,0.200|0.667,1.25
square,rope,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,45,0.48889,0.82456,0.022222,0.20468,0.933|0.689|0.733|0.972,1.304
square,rope,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,450,0.66667,0.93186,0.002222,0.17073,1.000|0.991|0.867|0.824|0.929|0.997,1.173
square,rope,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,2000,0.4375,0.90997,0.0005,0.15461,1.000|1.000|0.998|0.858|0.536|0.923|0.990|0.996,1.243
square,rope,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,2000,0.039,0.77119,0.0005,0.14806,1.000|1.000|1.000|0.939|0.277|0.160|0.490|0.915|0.993|0.997,2.32
square,rope,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,2000,0.0005,0.4463,0.001,0.1402,0.873|0.381|0.409|0.264|0.159|0.117|0.108|0.112|0.366|0.785|0.942|0.971,6.51
square,rope,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.01196,False,False,cuda:0,2000,0.0,0.2583,0.0005,0.13493,0.584|0.212|0.160|0.135|0.111|0.107|0.110|0.102|0.103|0.101|0.178|0.360|0.656|0.836,10.205
square,rope_sum,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,5,0.2,0.375,0.2,0.375,0.200|0.667,1.25
square,rope_sum,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,45,0.06667,0.49708,0.022222,0.20468,0.311|0.244|0.578|0.944,2.048
square,rope_sum,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,450,0.26444,0.80333,0.002222,0.17073,0.987|0.769|0.424|0.747|0.951|0.991,1.535
square,rope_sum,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,2000,0.1095,0.81113,0.0005,0.15461,1.000|0.999|0.978|0.226|0.415|0.928|0.989|0.998,1.647
square,rope_sum,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,2000,0.0205,0.7578,0.0005,0.14806,1.000|1.000|0.999|0.937|0.196|0.111|0.469|0.934|0.996|0.999,2.41
square,rope_sum,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,2000,0.0,0.32521,0.001,0.1402,0.284|0.084|0.108|0.119|0.117|0.101|0.107|0.102|0.293|0.776|0.979|0.999,7.929
square,rope_sum,0,1-2-3-4-5,6-7,24999,ood_7d,True,7,256,4,8000,3166221,0.0003,8,token,0.01472,False,False,cuda:0,2000,0.0,0.25114,0.0005,0.13493,0.323|0.180|0.130|0.102|0.093|0.101|0.095|0.087|0.094|0.113|0.121|0.397|0.876|0.980,10.303
square,rope_mixed,0,1-2-3-4-5,6-7,24999,id_1d,False,1,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,5,0.6,0.625,0.2,0.375,0.600|0.667,1.5
square,rope_mixed,0,1-2-3-4-5,6-7,24999,id_2d,False,2,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,45,0.17778,0.66082,0.022222,0.20468,0.778|0.333|0.644|0.944,1.568
square,rope_mixed,0,1-2-3-4-5,6-7,24999,id_3d,False,3,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,450,0.55333,0.90283,0.002222,0.17073,1.000|0.998|0.671|0.824|0.951|0.997,1.249
square,rope_mixed,0,1-2-3-4-5,6-7,24999,id_4d,False,4,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,2000,0.409,0.90199,0.0005,0.15461,1.000|1.000|0.999|0.752|0.551|0.944|0.995|0.999,1.288
square,rope_mixed,0,1-2-3-4-5,6-7,24999,id_5d,False,5,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,2000,0.0365,0.7833,0.0005,0.14806,1.000|1.000|1.000|0.959|0.274|0.162|0.557|0.944|0.995|0.999,2.192
square,rope_mixed,0,1-2-3-4-5,6-7,24999,ood_6d,True,6,256,4,8000,3166221,0.0003,8,token,6e-05,False,False,cuda:0,2000,0.0005,0.39209,0.001,0.1402,0.737|0.183|0.174|0.146|0.128|0.104|0.097|0.116|0.367|0.843|0.964|0.996,7.147
