task,positional,seed,cohort,ood,digits,d_model,n_layers,steps,params,lr,abacus_max_k,loss_reduction,final_loss,diverged,flat,device,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
square,learned,0,id_1d,False,1,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,5,0.6,0.75,0.2,0.375,0.600|1.000,1.0
square,learned,0,id_2d,False,2,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,45,0.31111,0.69591,0.022222,0.20468,0.733|0.378|0.733|1.000,1.677
square,learned,0,id_3d,False,3,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,450,0.60889,0.91599,0.002222,0.17073,0.998|0.991|0.664|0.882|0.984|0.997,1.233
square,learned,0,id_4d,False,4,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,2000,0.417,0.90315,0.0005,0.15461,1.000|1.000|0.998|0.750|0.567|0.943|0.993|0.998,1.29
square,learned,0,id_5d,False,5,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,2000,0.035,0.78155,0.0005,0.14806,1.000|1.000|1.000|0.966|0.280|0.133|0.548|0.952|0.994|0.999,2.206
square,learned,0,ood_6d,True,6,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,2000,0.0005,0.33435,0.001,0.1402,0.132|0.137|0.107|0.113|0.101|0.102|0.108|0.108|0.370|0.915|0.987|0.998,7.826
square,learned,0,ood_7d,True,7,256,4,8000,3170317,0.0003,8,token,0.05286,False,False,cuda:0,2000,0.0,0.29057,0.0005,0.13493,0.102|0.133|0.104|0.105|0.093|0.106|0.108|0.117|0.099|0.097|0.325|0.883|0.970|0.997,9.761
square,abacus,0,id_1d,False,1,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,5,0.8,0.875,0.2,0.375,1.000|0.667,1.0
square,abacus,0,id_2d,False,2,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,45,0.22222,0.71345,0.022222,0.20468,0.867|1.000|0.644|0.250,1.4
square,abacus,0,id_3d,False,3,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,450,0.02222,0.64111,0.002222,0.17073,0.738|0.664|0.989|0.558|0.336|0.535,2.107
square,abacus,0,id_4d,False,4,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,2000,0.0,0.53616,0.0005,0.15461,0.833|0.645|0.597|0.685|0.229|0.249|0.457|0.613,3.602
square,abacus,0,id_5d,False,5,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,2000,0.0,0.47132,0.0005,0.14806,0.939|0.774|0.530|0.367|0.237|0.130|0.131|0.297|0.565|0.834,5.152
square,abacus,0,ood_6d,True,6,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,2000,0.0,0.43907,0.001,0.1402,0.953|0.912|0.783|0.291|0.141|0.121|0.118|0.096|0.116|0.222|0.729|0.901,6.591
square,abacus,0,ood_7d,True,7,256,4,8000,3172877,0.0003,8,token,0.47667,False,False,cuda:0,2000,0.0,0.40079,0.0005,0.13493,0.950|0.915|0.796|0.417|0.134|0.109|0.111|0.106|0.103|0.093|0.112|0.286|0.716|0.877,8.245
square,learned,0,id_1d,False,1,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,5,0.4,0.5,0.2,0.375,0.800|0.000,1.333
square,learned,0,id_2d,False,2,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,45,0.37778,0.76023,0.022222,0.20468,0.933|0.422|0.756|0.972,1.464
square,learned,0,id_3d,False,3,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,450,0.29111,0.82191,0.002222,0.17073,1.000|0.996|0.493|0.547|0.944|0.997,1.442
square,learned,0,id_4d,False,4,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0385,0.74687,0.0005,0.1539,1.000|1.000|0.998|0.318|0.133|0.631|0.962|0.994,2.042
square,learned,0,ood_5d,True,5,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0005,0.33016,0.001,0.14617,0.377|0.141|0.111|0.112|0.109|0.096|0.121|0.476|0.924|0.985,6.547
square,learned,0,ood_6d,True,6,256,4,8000,3169805,0.0003,8,token,0.0,False,False,cuda:0,2000,0.0,0.26935,0.001,0.13814,0.343|0.143|0.114|0.097|0.104|0.100|0.102|0.099|0.108|0.384|0.832|0.974,8.595
square,abacus,0,id_1d,False,1,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,5,0.8,0.875,0.2,0.375,1.000|0.667,1.0
square,abacus,0,id_2d,False,2,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,45,0.2,0.67251,0.022222,0.20468,0.822|0.978|0.489|0.333,1.556
square,abacus,0,id_3d,False,3,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,450,0.01333,0.57646,0.002222,0.17073,0.907|0.669|0.856|0.307|0.178|0.532,2.464
square,abacus,0,id_4d,False,4,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,2000,0.0,0.47041,0.0005,0.1539,0.959|0.712|0.484|0.273|0.123|0.130|0.390|0.765,4.107
square,abacus,0,ood_5d,True,5,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,2000,0.0,0.43272,0.001,0.14617,0.969|0.905|0.483|0.168|0.126|0.117|0.102|0.115|0.562|0.886,5.542
square,abacus,0,ood_6d,True,6,256,4,8000,3172365,0.0003,8,token,0.44034,False,False,cuda:0,2000,0.0,0.38666,0.001,0.13814,0.972|0.874|0.597|0.177|0.101|0.112|0.102|0.104|0.103|0.145|0.603|0.862,7.215
square,abacus_rope,0,id_1d,False,1,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,5,0.6,0.75,0.2,0.375,1.000|0.333,1.0
square,abacus_rope,0,id_2d,False,2,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,45,0.37778,0.76023,0.022222,0.20468,0.889|0.822|0.489|0.861,1.464
square,abacus_rope,0,id_3d,False,3,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,450,0.19556,0.7983,0.002222,0.17073,0.998|1.000|0.698|0.291|0.869|0.982,1.439
square,abacus_rope,0,id_4d,False,4,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.0425,0.72721,0.0005,0.1539,1.000|1.000|0.970|0.301|0.154|0.528|0.939|0.990,2.209
square,abacus_rope,0,ood_5d,True,5,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.0,0.35601,0.001,0.14617,0.973|0.331|0.364|0.172|0.116|0.102|0.127|0.231|0.523|0.702,6.292
square,abacus_rope,0,ood_6d,True,6,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.0,0.18693,0.001,0.13814,0.627|0.224|0.128|0.131|0.103|0.096|0.101|0.108|0.109|0.139|0.192|0.316,9.565
square,abacus_rope_sum,0,id_1d,False,1,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,5,0.2,0.125,0.2,0.375,0.200|0.000,1.75
square,abacus_rope_sum,0,id_2d,False,2,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,45,0.2,0.61404,0.022222,0.20468,0.622|0.444|0.511|0.944,1.833
square,abacus_rope_sum,0,id_3d,False,3,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,450,0.12444,0.741,0.002222,0.17073,1.000|0.907|0.311|0.369|0.931|0.994,1.698
square,abacus_rope_sum,0,id_4d,False,4,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.037,0.73978,0.0005,0.1539,1.000|1.000|0.990|0.299|0.135|0.605|0.958|0.994,2.096
square,abacus_rope_sum,0,ood_5d,True,5,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.0005,0.32704,0.001,0.14617,0.514|0.143|0.117|0.135|0.113|0.112|0.107|0.314|0.884|0.981,6.578
square,abacus_rope_sum,0,ood_6d,True,6,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.0,0.23088,0.001,0.13814,0.309|0.304|0.154|0.099|0.102|0.104|0.102|0.104|0.102|0.175|0.486|0.884,9.047
square,abacus_rope_mixed,0,id_1d,False,1,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,5,0.8,0.875,0.2,0.375,0.800|1.000,1.0
square,abacus_rope_mixed,0,id_2d,False,2,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,45,0.26667,0.70175,0.022222,0.20468,0.911|0.578|0.444|0.917,1.545
square,abacus_rope_mixed,0,id_3d,False,3,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,450,0.14889,0.76616,0.002222,0.17073,1.000|0.964|0.451|0.327|0.918|0.997,1.577
square,abacus_rope_mixed,0,id_4d,False,4,256,4,8000,3172365,0.0003,8,token,1e-05,False,False,cuda:0,2000,0.036,0.73269,0.0005,0.1539,1.000|1.000|0.985|0.331|0.121|0.543|0.953|0.993,2.15
