variant,positional,seed,cohort,digit_length,ood,n_layers,n_loops_trained,pass_count,d_model,steps,params,n_eval,exact_acc,digit_acc,chance_exact,chance_digit,per_place_acc,mean_wrong_digits
carryless,rope,0,train_seen,-1,False,2,4,2,256,8000,1586701,2000,0.437,0.892,0.001,0.21624,1.000|0.999|0.965|0.812|0.601|0.822|0.872|0.999|0.998,1.642
carryless,rope,0,train_seen,-1,False,2,4,4,256,8000,1586701,2000,1.0,1.0,0.001,0.21624,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless,rope,0,train_seen,-1,False,2,4,8,256,8000,1586701,2000,1.0,1.0,0.001,0.21624,1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000|1.000,0.0
carryless,rope,0,train_seen,-1,False,2,4,16,256,8000,1586701,2000,0.987,0.99848,0.001,0.21624,1.000|1.000|0.995|1.000|0.994|1.000|0.998|1.000|1.000,1.0
carryless,rope,0,train_seen,-1,False,2,4,32,256,8000,1586701,2000,0.8585,0.98143,0.001,0.21624,1.000|1.000|0.946|1.000|0.940|1.000|0.955|1.000|1.000,1.124
carryless,rope,0,id_1d,1,False,2,4,2,256,8000,1586701,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless,rope,0,id_1d,1,False,2,4,4,256,8000,1586701,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless,rope,0,id_1d,1,False,2,4,8,256,8000,1586701,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless,rope,0,id_1d,1,False,2,4,16,256,8000,1586701,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless,rope,0,id_1d,1,False,2,4,32,256,8000,1586701,5,1.0,1.0,0.4,0.4,1.000,0.0
carryless,rope,0,id_2d,2,False,2,4,2,256,8000,1586701,45,0.8,0.92593,0.044444,0.28148,0.844|0.956|0.978,1.111
carryless,rope,0,id_2d,2,False,2,4,4,256,8000,1586701,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless,rope,0,id_2d,2,False,2,4,8,256,8000,1586701,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless,rope,0,id_2d,2,False,2,4,16,256,8000,1586701,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless,rope,0,id_2d,2,False,2,4,32,256,8000,1586701,45,1.0,1.0,0.044444,0.28148,1.000|1.000|1.000,0.0
carryless,rope,0,id_3d,3,False,2,4,2,256,8000,1586701,450,0.76222,0.94667,0.004444,0.24533,0.993|0.973|0.780|1.000|0.987,1.121
carryless,rope,0,id_3d,3,False,2,4,4,256,8000,1586701,450,0.99778,0.99956,0.004444,0.24533,1.000|1.000|0.998|1.000|1.000,1.0
